(1.6, -0.6, 1.4, 1.8), 2.09)
(1.5, 0, 1.8, 0.707), 4.74)
(1.8, 0, 1.75, 0.5), -1)
(1.5, 0, 1.45, 0), 0)
(1.5, 0, 1.8, 0), 1)
(1.5, 0, 1.8, -0.707), 4.74)
(1.5, 0.5, 1.8, -0.5), 0.5)
(1.5, 0.6, 1.8, -0.6), 0.6)
(1.8, 0, 1.2, 2.5), -1)
(1.8, 0, 1.5, -1.5), 1.5)
(1.2, 0, 1.5, -0.3), 2.02)
(1.4, 0, 1.8, -0.6), 5.57)
(1.35, 0, 1.9, -0.9), 4.56)
(1.35, 0, 1.8, -0.4), 4.66)
(1.6, -0.5, 2, 0.3), -1)
(1.5, -0.5, 2, 0.3), -1)
(1.5, 0, 1.8, 0.2), 1.72)
(1.5, 0, 1.5, 0), 1.0)
(1.525, 0, 1.475, 0), 0.5)
(1.5, 0, 1.45, 0), 0)
(1.525, 0, 1.525, -1), 0.5)
(1.525, 0, 1.525, 0.6), 0.98)
(1.54, 0.9, 1.59, 0.6), 0.05)
